vgsales.rank,vgsales.name,vgsales.year,vgsales.genre,vgsales.publisher,vgsales.na_sales,vgsales.eu_sales,vgsales.jp_sales,vgsales.other_sales,vgsales.global_sales,vgsales.platform
1587,Combat,N/A,Action,Atari,1.17,0.07,0,0.01,1.25,2600
9497,RealSports Volleyball,1981,Sports,Atari,0.12,0.01,0,0,0.13,2600
4196,Commando,1987,Action,Activision,0.44,0.02,0,0,0.47,2600
736,Frogger,1981,Action,Parker Bros.,2.06,0.12,0,0.02,2.2,2600
1558,Atlantis,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27,2600
2942,King Kong,1981,Action,Tigervision,0.65,0.04,0,0.01,0.69,2600
3120,Kung-Fu Master,1987,Action,Activision,0.6,0.04,0,0.01,0.65,2600
90,Pac-Man,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,2600
2518,Custer's Revenge,1981,Action,Mystique,0.76,0.05,0,0.01,0.82,2600
3645,The Activision Decathlon,1982,Sports,Activision,0.52,0.03,0,0.01,0.55,2600
1515,Adventure,N/A,Adventure,Atari,1.21,0.08,0,0.01,1.3,2600
3217,X-Man,1982,Action,Universal Gamex,0.58,0.04,0,0.01,0.63,2600
259,Asteroids,1980,Shooter,Atari,4,0.26,0,0.05,4.31,2600
7186,Crazy Climber,1981,Action,Atari,0.21,0.01,0,0,0.22,2600
1510,Pitfall II: Lost Caverns,1983,Platform,Activision,1.22,0.07,0,0.02,1.31,2600
6298,Beamrider,1984,Racing,Activision,0.26,0.01,0,0,0.27,2600
4234,Circus Atari,N/A,Action,Atari,0.43,0.03,0,0,0.46,2600
5402,Carnival,1981,Shooter,Coleco,0.32,0.02,0,0,0.34,2600
5397,Bank Heist,1982,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,2600
6539,RealSports Football,1981,Sports,Atari,0.24,0.01,0,0,0.26,2600
5391,Fantastic Voyage,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,2600
1971,Defender,1980,Misc,Atari,0.99,0.05,0,0.01,1.05,2600
5384,Frostbite,1983,Action,Activision,0.32,0.02,0,0,0.34,2600
5383,Alien's Return,1982,Action,ITT Family Games,0.32,0.02,0,0,0.34,2600
5368,Freeway,1980,Action,Activision,0.32,0.02,0,0,0.34,2600
1967,Cosmic Ark,1981,Shooter,Imagic,0.99,0.05,0,0.01,1.05,2600
6319,Bridge,1980,Misc,Activision,0.25,0.02,0,0,0.27,2600
3046,Adventures of Tron,1981,Action,Mattel Interactive,0.63,0.03,0,0.01,0.67,2600
6147,Polaris,1982,Action,Tigervision,0.26,0.02,0,0,0.28,2600
3718,Action Force,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54,2600
3250,Battlezone,1982,Shooter,Atari,0.58,0.03,0,0.01,0.62,2600
1431,Centipede,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36,2600
608,Space Invaders,N/A,Shooter,Atari,2.36,0.14,0,0.03,2.53,2600
7373,RealSports Baseball,1981,Sports,Atari,0.2,0.01,0,0,0.21,2600
1907,Joust,1982,Platform,Atari,1.01,0.06,0,0.01,1.08,2600
1108,Ms. Pac-Man,1981,Puzzle,Atari,1.54,0.1,0,0.02,1.65,2600
3081,Keystone Kapers,1982,Action,Activision,0.62,0.04,0,0.01,0.66,2600
5248,Frogs And Flies,1981,Action,Mattel Interactive,0.33,0.02,0,0,0.36,2600
4269,Gremlins,1983,Action,Atari,0.43,0.03,0,0,0.46,2600
6868,Front Line,1981,Action,Taito,0.22,0.01,0,0,0.24,2600
4519,Barnstorming,1981,Action,Activision,0.4,0.02,0,0,0.43,2600
545,Missile Command,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76,2600
4339,Ghostbusters,1985,Puzzle,Activision,0.42,0.03,0,0,0.45,2600
6730,Porky's,1982,Action,20th Century Fox Video Games,0.23,0.01,0,0,0.25,2600
6267,Mr. Do!,1982,Action,Coleco,0.26,0.02,0,0,0.27,2600
1117,Dig Dug,1982,Puzzle,Atari,1.52,0.1,0,0.02,1.64,2600
4348,Phoenix,1981,Simulation,Atari,0.42,0.02,0,0,0.45,2600
5129,Dragonfire,1981,Action,Imagic,0.35,0.02,0,0,0.37,2600
768,Demon Attack,1981,Shooter,Imagic,1.99,0.12,0,0.02,2.13,2600
6942,Dark Cavern,1981,Shooter,Mattel Interactive,0.22,0.01,0,0,0.24,2600
5084,Solaris,1986,Shooter,Atari,0.35,0.02,0,0,0.37,2600
3750,Popeye,1982,Platform,Parker Bros.,0.5,0.03,0,0.01,0.54,2600
5066,Gravitar,1982,Action,Atari,0.35,0.02,0,0,0.38,2600
2654,Jr. Pac-Man,1983,Puzzle,Atari,0.72,0.05,0,0.01,0.78,2600
5063,Hangman,N/A,Puzzle,Atari,0.35,0.02,0,0,0.38,2600
3882,Fishing Derby,N/A,Sports,Activision,0.48,0.03,0,0.01,0.51,2600
4380,Maze Craze: A Game of Cops 'n Robbers,N/A,Action,Atari,0.42,0.02,0,0,0.45,2600
7372,Breakaway IV,N/A,Puzzle,Sears,0.2,0.01,0,0,0.21,2600
1853,Jungle Hunt,1982,Platform,Atari,1.03,0.06,0,0.01,1.1,2600
4395,Defender II,1987,Shooter,Atari,0.42,0.02,0,0,0.45,2600
3942,River Raid II,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51,2600
1850,Megamania,1981,Shooter,Activision,1.03,0.06,0,0.01,1.1,2600
1308,Donkey Kong,1981,Platform,Coleco,1.36,0.08,0,0.02,1.46,2600
3405,BurgerTime,1981,Puzzle,Mattel Interactive,0.55,0.03,0,0.01,0.59,2600
6023,Fast Food,1981,Action,Unknown,0.27,0.02,0,0,0.29,2600
3955,Midnight Magic,1983,Action,Atari,0.47,0.03,0,0.01,0.5,2600
2234,Spider-Man,1981,Action,Parker Bros.,0.87,0.05,0,0.01,0.93,2600
3968,Chopper Command,1982,Shooter,Activision,0.47,0.03,0,0.01,0.5,2600
4969,Airlock,1981,Action,Data Age,0.36,0.02,0,0,0.39,2600
1819,Moon Patrol,1982,Shooter,Atari,1.05,0.06,0,0.01,1.12,2600
2662,Galaxian,1982,Shooter,Atari,0.72,0.05,0,0.01,0.77,2600
4404,Jawbreaker,1981,Action,Tigervision,0.42,0.03,0,0,0.45,2600
6941,Rampage,1988,Action,Activision,0.22,0.01,0,0,0.24,2600
4910,Laser Blast,1981,Action,Activision,0.37,0.02,0,0,0.39,2600
5802,Astroblast,1981,Action,Mattel Interactive,0.29,0.02,0,0,0.31,2600
4471,Super Breakout,N/A,Puzzle,Atari,0.41,0.03,0,0,0.44,2600
4896,Bump 'n' Jump,1982,Racing,Mattel Interactive,0.37,0.02,0,0,0.39,2600
4015,RealSports Tennis,1982,Sports,Atari,0.46,0.03,0,0.01,0.5,2600
3268,Halloween,1982,Action,Wizard Video Games,0.58,0.03,0,0.01,0.62,2600
1155,River Raid,1981,Shooter,Activision,1.49,0.09,0,0.02,1.6,2600
6585,Desert Falcon,1987,Shooter,Atari,0.24,0.01,0,0,0.26,2600
7150,Deadly Duck,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0,0,0.22,2600
7152,Reactor,1981,Action,Parker Bros.,0.21,0.01,0,0,0.22,2600
2408,Enduro,1982,Misc,Quelle,0.81,0.05,0,0.01,0.87,2600
4017,Raiders of the Lost Ark,1981,Action,Atari,0.46,0.03,0,0.01,0.5,2600
4803,Congo Bongo,1982,Action,Sega,0.37,0.02,0,0,0.4,2600
2631,Yars' Revenge,1982,Shooter,Atari,0.73,0.04,0,0.01,0.78,2600
1768,Kaboom!,1980,Misc,Activision,1.07,0.07,0,0.01,1.15,2600
4786,Mouse Trap,1981,Action,Coleco,0.38,0.02,0,0,0.4,2600
4782,Pengo,1983,Adventure,Atari,0.38,0.02,0,0,0.4,2600
11751,Super Baseball,1987,Sports,Atari,0.07,0,0,0,0.07,2600
6009,Dolphin,1983,Action,Activision,0.27,0.02,0,0,0.29,2600
8762,Home Run,N/A,Sports,Atari,0.14,0.01,0,0,0.15,2600
1165,Mario Bros.,1982,Platform,Atari,1.48,0.09,0,0.02,1.59,2600
11718,Super Football,1987,Sports,Atari,0.07,0,0,0,0.08,2600
2808,Berzerk,1981,Shooter,Atari,0.68,0.04,0,0.01,0.73,2600
4018,Gauntlet,1982,Action,Answer Software,0.46,0.03,0,0.01,0.5,2600
6285,Indy 500,N/A,Racing,Atari,0.26,0.01,0,0,0.27,2600
5800,Slot Machine,N/A,Action,Atari,0.29,0.02,0,0,0.31,2600
3410,Smurf: Rescue In Gargamel's Castle,1981,Action,Coleco,0.55,0.03,0,0.01,0.59,2600
8759,Klax,1989,Puzzle,Atari,0.14,0.01,0,0,0.15,2600
8760,Pressure Cooker,1982,Action,Activision,0.14,0.01,0,0,0.15,2600
4027,Ice Hockey,1980,Sports,Activision,0.46,0.03,0,0.01,0.49,2600
1707,Pole Position,1982,Racing,Atari,1.1,0.07,0,0.01,1.18,2600
5775,Mountain King,1982,Action,CBS Electronics,0.29,0.02,0,0,0.31,2600
2674,Crystal Castles,1983,Action,Atari,0.72,0.04,0,0.01,0.77,2600
2598,Alien,1981,Action,20th Century Fox Video Games,0.74,0.04,0,0.01,0.79,2600
7371,Ghostbusters II,N/A,Action,Activision,0.2,0.01,0,0,0.21,2600
5958,RealSports Boxing,1986,Sports,Atari,0.28,0.02,0,0,0.29,2600
3449,Q*bert,1982,Puzzle,Parker Bros.,0.55,0.03,0,0.01,0.58,2600
4098,Millipede,1983,Shooter,Atari,0.45,0.03,0,0.01,0.48,2600
8459,Mr. Do!'s Castle,1983,Action,Parker Bros.,0.15,0.01,0,0,0.17,2600
5660,Frankenstein's Monster,1982,Action,Data Age,0.3,0.02,0,0,0.32,2600
5659,Dragster,N/A,Racing,Activision,0.3,0.02,0,0,0.32,2600
8460,Death Trap,1982,Action,Avalon Interactive,0.15,0.01,0,0,0.17,2600
7151,Assault,1982,Action,Bomb,0.21,0.01,0,0,0.22,2600
2845,Kangaroo,1982,Platform,Atari,0.67,0.04,0,0.01,0.72,2600
2145,Donkey Kong Junior,1981,Platform,Atari,0.9,0.05,0,0.01,0.97,2600
240,Pitfall!,1981,Platform,Activision,4.21,0.24,0,0.05,4.5,2600
6898,Checkers,1980,Misc,Atari,0.22,0.01,0,0,0.24,2600
2115,Air-Sea Battle,N/A,Shooter,Atari,0.91,0.06,0,0.01,0.98,2600
8461,Armor Ambush,1981,Action,Mattel Interactive,0.15,0.01,0,0,0.17,2600
4141,Grand Prix,1981,Racing,Activision,0.45,0.03,0,0,0.48,2600
6318,Flag Capture,N/A,Action,Atari,0.25,0.02,0,0,0.27,2600
5566,Fireball,1981,Action,Starpath Corp.,0.3,0.02,0,0,0.33,2600
866,E.T.: The Extra Terrestrial,1981,Action,Atari,1.84,0.11,0,0.02,1.97,2600
4149,Double Dragon,1989,Action,Activision,0.45,0.02,0,0.01,0.47,2600
7906,International Soccer,1981,Sports,Mattel Interactive,0.18,0.01,0,0,0.19,2600
2671,Boxing,1980,Fighting,Activision,0.72,0.04,0,0.01,0.77,2600
5561,Frogger II: Threeedeep!,1983,Action,Parker Bros.,0.31,0.02,0,0,0.33,2600
9108,Krull,1982,Action,Atari,0.13,0.01,0,0,0.14,2600
2666,Air Raid,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77,2600
4153,Karate,N/A,Fighting,Ultravision,0.44,0.03,0,0,0.47,2600
12637,Policenauts,1995,Adventure,Konami Digital Entertainment,0,0,0.06,0,0.06,3DO
14999,Bust-A-Move,1994,Puzzle,Micro Cabin,0,0,0.02,0,0.02,3DO
15482,Sotsugyou II: Neo Generation Special,1995,Simulation,Imageworks,0,0,0.02,0,0.02,3DO
13822,Time Travelers,2012,Adventure,Unknown,0,0,0.04,0,0.04,3DS
10154,Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,2015,Action,Namco Bandai Games,0,0,0.11,0,0.11,3DS
10161,Happy Feet Two,2011,Action,Warner Bros. Interactive Entertainment,0.08,0.02,0,0.01,0.11,3DS
10179,NCIS 3D,2011,Adventure,Ubisoft,0.06,0.04,0,0.01,0.11,3DS
10186,DualPenSports,2011,Sports,Namco Bandai Games,0.05,0.05,0,0.01,0.11,3DS
10925,Brain Age: Concentration Training,2012,Puzzle,Nintendo,0.09,0,0,0.01,0.09,3DS
10240,Gabrielle's Ghostly Groove 3D,2011,Adventure,Funbox Media,0.08,0.02,0,0.01,0.11,3DS
10244,AKB48+Me,2012,Action,Unknown,0,0,0.11,0,0.11,3DS
10903,Etrian Odyssey 2 Untold: Knight of Fafnir,2014,Role-Playing,Atlus,0.07,0.02,0,0.01,0.09,3DS
10299,PriPara Mezase! Idol Grand Prix No.1!,2015,Misc,Takara Tomy,0,0,0.11,0,0.11,3DS
10865,PAC-MAN and the Ghostly Adventures,2013,Platform,Namco Bandai Games,0.05,0.04,0,0.01,0.09,3DS
10858,Ouchi Mainichi Tamagotchi,2012,Action,Namco Bandai Games,0,0,0.09,0,0.09,3DS
10320,Picross 3D 2,2015,Puzzle,Nintendo,0,0,0.11,0,0.11,3DS
10358,BlazBlue: Continuum Shift II,2011,Fighting,PQube,0.05,0.01,0.04,0.01,0.11,3DS
10829,Taiko no Tatsujin: Don Don! Mystery Adventure,2016,Action,Namco Bandai Games,0,0,0.09,0,0.09,3DS
10362,Naruto Shippuden 3D: The New Era,2011,Action,505 Games,0,0.04,0.06,0.01,0.11,3DS
10813,Kuroko's Basketball: Miracle Game,2014,Sports,Namco Bandai Games,0,0,0.1,0,0.1,3DS
10388,Tales of the World: Reve Unitia,2014,Role-Playing,Namco Bandai Games,0,0,0.11,0,0.11,3DS
10807,Disney Planes Fire & Rescue,2014,Action,Disney Interactive Studios,0.01,0.08,0,0.01,0.1,3DS
10805,Cartoon Network: Punch Time Explosion,2011,Fighting,Deep Silver,0.07,0.02,0,0.01,0.1,3DS
10483,Etrian Odyssey II: Heroes of Lagaard,2014,Role-Playing,Atlus,0,0,0.1,0,0.1,3DS
10499,Little Battlers eXperience W,2013,Role-Playing,Level 5,0,0,0.1,0,0.1,3DS
10515,Samurai Warriors Chronicles 2nd,2012,Action,Ubisoft Annecy,0,0,0.1,0,0.1,3DS
10739,Thor: God of Thunder,2011,Action,Sega,0.06,0.03,0,0.01,0.1,3DS
10734,Pinball Hall of Fame: The Williams Collection,2011,Misc,Crave Entertainment,0.09,0,0,0.01,0.1,3DS
10730,Cubic Ninja,2011,Platform,Ubisoft,0.05,0.04,0,0.01,0.1,3DS
10701,Scribblenauts Unmasked: A DC Comics Adventure,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.1,3DS
10689,Generator Rex: Agent of Providence,2011,Action,Activision,0.07,0.02,0,0.01,0.1,3DS
10663,Marvel Super Hero Squad: The Infinity Gauntlet,2011,Action,THQ,0.07,0.02,0,0.01,0.1,3DS
537,Monster Hunter Tri,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79,3DS
562,Yokai Watch 2 Shinuchi,2014,Role-Playing,Level 5,0,0,2.68,0,2.68,3DS
16320,Touch Detective 3: Does Funghi Dream of Bananas?,2014,Adventure,Success,0,0,0.01,0,0.01,3DS
682,The Legend of Zelda: Majora's Mask 3D,2015,Action,Nintendo,1.14,0.54,0.47,0.17,2.32,3DS
701,Yokai Watch Busters,2015,Action,Level 5,0,0,2.28,0,2.28,3DS
707,Paper Mario: Sticker Star,2012,Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27,3DS
16243,Seisou no Amazones,2013,Role-Playing,Arc System Works,0,0,0.01,0,0.01,3DS
822,Mario & Luigi: Dream Team,2013,Role-Playing,Nintendo,0.89,0.57,0.46,0.13,2.06,3DS
849,Fire Emblem: Awakening,2012,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2,3DS
913,Yokai Watch,2013,Role-Playing,Nintendo,0.21,0.3,1.33,0.04,1.89,3DS
924,Donkey Kong Country Returns,2013,Platform,Nintendo,0.73,0.62,0.4,0.12,1.87,3DS
16170,Order Up!!,2011,Action,Funbox Media,0,0.01,0,0,0.01,3DS
936,Mario Party: Island Tour,2013,Misc,Nintendo,0.61,0.59,0.55,0.11,1.85,3DS
953,Kirby: Triple Deluxe,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82,3DS
977,Professor Layton and the Mask of Miracle,2011,Puzzle,Nintendo,0.32,0.95,0.36,0.14,1.78,3DS
16126,Nintendogs and Cats Golden Retriever and New Friends,2011,Action,Nintendo,0,0.01,0,0,0.01,3DS
33,Pokemon X/Pokemon Y,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,3DS
16075,Sousaku Alice to Oujisama!,2015,Simulation,Happinet,0,0,0.01,0,0.01,3DS
16067,Kaitou Joker: Toki o Koeru Kaitou to Ushinawareta Houseki,2015,Action,Namco Bandai Games,0,0,0.01,0,0.01,3DS
1178,Kingdom Hearts 3D: Dream Drop Distance,2012,Action,Square Enix,0.88,0.26,0.34,0.09,1.58,3DS
1212,Fire Emblem Fates,2015,Role-Playing,Nintendo,0.71,0.22,0.52,0.1,1.54,3DS
16001,One Piece: Daikaizoku Coliseum,2016,Fighting,Namco Bandai Games,0,0,0.01,0,0.01,3DS
1247,Puzzle & Dragons,2013,Role-Playing,GungHo,0,0,1.51,0,1.51,3DS
15985,Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,2016,Action,Namco Bandai Games,0,0,0.01,0,0.01,3DS
1316,LEGO City Undercover,2013,Platform,Nintendo,0.51,0.75,0.07,0.12,1.46,3DS
43,Mario Kart 7,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,3DS
1355,Dragon Quest VII: Warriors of Eden,2013,Role-Playing,Square Enix,0.07,0.04,1.3,0.01,1.42,3DS
1404,Bravely Default: Flying Fairy,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.07,1.38,3DS
1432,Yoshi's New Island,2014,Platform,Nintendo,0.47,0.51,0.28,0.09,1.36,3DS
15911,Adventure Time: The Secret of the Nameless,2014,Adventure,Little Orbit,0.01,0,0,0,0.02,3DS
15882,PachiPara 3D,2011,Misc,Irem Software Engineering,0,0,0.02,0,0.02,3DS
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,3DS
15878,Turbo: Super Stunt Squad,2013,Sports,D3Publisher,0,0.01,0,0,0.02,3DS
1550,Kid Icarus: Uprising,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.28,3DS
15866,Gaist Crusher God,2014,Action,Capcom,0,0,0.02,0,0.02,3DS
1557,Pokemon Mystery Dungeon: Gates to Infinity,2012,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27,3DS
1570,Yokai Watch 3,2016,Action,Level 5,0,0,1.27,0,1.27,3DS
15832,Phoenix Wright: Ace Attorney Trilogy,2014,Adventure,Capcom,0,0,0.02,0,0.02,3DS
16581,Outdoors Unleashed: Africa 3D,2011,Sports,Mastiff,0.01,0,0,0,0.01,3DS
54,Super Mario 3D Land,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,3DS
1652,Super Street Fighter IV: 3D Edition,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22,3DS
1694,Mario & Sonic at the London 2012 Olympic Games,2012,Sports,Sega,0.18,0.64,0.27,0.1,1.19,3DS
1704,Pokemon Super Mystery Dungeon,2015,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19,3DS
1783,Pokemon Rumble Blast,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,3DS
1805,LEGO Star Wars III: The Clone Wars,2011,Action,LucasArts,0.61,0.43,0,0.09,1.13,3DS
65,New Super Mario Bros. 2,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,3DS
1808,Fantasy Life,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,3DS
15703,Monster High 13 Wishes,2013,Action,Little Orbit,0,0.02,0,0,0.02,3DS
1852,The Legend of Zelda: Tri Force Heroes,2015,Action,Nintendo,0.52,0.33,0.17,0.08,1.1,3DS
15681,50 Classic Games,2012,Misc,Avanquest Software,0,0.02,0,0,0.02,3DS
15621,Ben 10 Omniverse 2,2013,Action,Namco Bandai Games,0,0.02,0,0,0.02,3DS
15618,PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana,2012,Action,Irem Software Engineering,0,0,0.02,0,0.02,3DS
2046,Sonic Generations,2011,Platform,Sega,0.44,0.46,0.01,0.09,1.01,3DS
15584,Niko Puchi Girls Runway,2015,Misc,Happinet,0,0,0.02,0,0.02,3DS
15573,New Atelier Rorona: Hajimari no Monogatari,2015,Action,Tecmo Koei,0,0,0.02,0,0.02,3DS
15558,Gon: BakuBakuBakuBaku Adventure,2012,Action,Namco Bandai Games,0,0,0.02,0,0.02,3DS
15546,Poyo Poyo Kansatsu Nikki,2012,Action,IE Institute,0,0,0.02,0,0.02,3DS
2164,Dragon Quest Monsters: Terry's Wonderland 3D,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96,3DS
2171,PilotWings Resort,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96,3DS
74,Animal Crossing: New Leaf,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,3DS
2199,Star Fox 64 3D,2011,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.94,3DS
15501,Azada,2012,Puzzle,Licensed 4U,0,0.02,0,0,0.02,3DS
2206,Mario Tennis Open,2012,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94,3DS
15493,Devil Survivor: Over Clock,2015,Strategy,Atlus,0,0,0.02,0,0.02,3DS
16570,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,2014,Action,Namco Bandai Games,0,0,0.01,0,0.01,3DS
2263,Disney Magical World,2013,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92,3DS
2279,Harvest Moon 3D: A New Beginning,2012,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91,3DS
15443,Downtown Nekketsu Jidaigek,2015,Action,Arc System Works,0,0,0.02,0,0.02,3DS
15435,Tenkai Knights: Brave Battle,2014,Action,Namco Bandai Games,0.01,0.01,0,0,0.02,3DS
2346,LEGO Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.89,3DS
2364,Resident Evil: Revelations,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,3DS
15395,Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!,2011,Action,Namco Bandai Games,0,0,0.02,0,0.02,3DS
2411,Monster Strike 3DS,2015,Action,"mixi, Inc",0,0,0.86,0,0.86,3DS
2419,Dragon Quest VIII: Journey of the Cursed King,2015,Role-Playing,Square Enix,0,0,0.86,0,0.86,3DS
15361,Bella Sara 2 - The Magic of Drasilmare,2013,Adventure,Big Ben Interactive,0,0.02,0,0,0.02,3DS
2450,Kirby: Planet Robobot,2016,Action,Nintendo,0.26,0.1,0.44,0.04,0.85,3DS
15339,Kung Fu Panda: Showdown of Legendary Legends,2015,Action,Little Orbit,0,0.02,0,0,0.02,3DS
2521,Tales of the Abyss,2011,Role-Playing,Namco Bandai Games,0.42,0.19,0.14,0.06,0.82,3DS
2554,Professor Layton vs Phoenix Wright: Ace Attorney,2012,Puzzle,Level 5,0.2,0.26,0.3,0.04,0.81,3DS
15297,Detective Jinguuji Saburo: Ronde Revenge,2012,Action,Arc System Works,0,0,0.02,0,0.02,3DS
15282,Heavy Fire: The Chosen Few 3D,2011,Shooter,Mastiff,0.02,0,0,0,0.02,3DS
2616,Dragon Quest Monsters 2,2014,Role-Playing,Square Enix,0,0,0.79,0,0.79,3DS
15264,Mario Tennis,N/A,Sports,N/A,0,0,0.02,0,0.02,3DS
2629,Professor Layton and the Azran Legacy,2013,Puzzle,Nintendo,0,0.48,0.25,0.06,0.78,3DS
2692,The Sims 3,2011,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76,3DS
15230,UnchainBlades EXXiV,2012,Role-Playing,FuRyu,0,0,0.02,0,0.02,3DS
2771,LEGO Batman 2: DC Super Heroes,2012,Action,Warner Bros. Interactive Entertainment,0.41,0.27,0,0.06,0.74,3DS
2773,Mario & Luigi: Paper Jam,2015,Role-Playing,Nintendo,0.16,0.3,0.25,0.04,0.74,3DS
2824,Style Savvy: Trendsetters,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.72,3DS
16545,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,2015,Misc,Nintendo,0,0,0.01,0,0.01,3DS
2870,Persona Q: Shadow of the Labyrinth,2014,Role-Playing,Nippon Ichi Software,0.33,0.07,0.27,0.04,0.71,3DS
98,Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,3DS
2884,Rhythm Heaven: The Best+,2015,Misc,Nintendo,0,0,0.71,0,0.71,3DS
2944,The LEGO Movie Videogame,2014,Action,Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69,3DS
